Title,Rating,Director,Writers,Stars,Keywords,Movie_Duration,Genre,Release_Year,Num_of_ratings
wild tales ,8.1, damin szifron, germn servidio , daro grandinetti mara marull mnica villa ,anthology film suicide by airplane crash revenge wedding party anthology,122,Comedy,-2014,172423
winter sleep ,8.1, nuri bilge ceylan, ebru ceylan nuri bilge ceylan , haluk bilginer melisa szen demet akbag ,throwing a stone at a car husband wife relationship written by director killing a rabbit burning money,196,Drama,-2014,44405
baahubali the beginning ,8.1, ss rajamouli, vijayendra prasad , prabhas rana daggubati ramya krishnan ,india kingdom dual role hindu good versus evil,159,Action,-2015,100816
gully boy ,8.1, zoya akhtar, zoya akhtar reema kagti , vijay varma nakul roshan sahdev ranveer singh ,rapper singer success love friendship,153,Drama,-2019,30297
pk ,8.1, rajkumar hirani, rajkumar hirani abhijat joshi, aamir khan anushka sharma sanjay dutt ,religion tv reporter alien on earth papadum muslim,153,Comedy,-2014,158678
omg oh my god ,8.1, umesh shukla, bhavesh mandalia , paresh rawal akshay kumar mithun chakraborty ,hare krishna earthquake priest defying god act of god,125,Comedy,-2012,50286
the grand budapest hotel ,8.1, wes anderson, stefan zweig , ralph fiennes f murray abraham mathieu amalric ,hotel lobby boy prison escape first person narration painting,99,Adventure,-2014,692604
gone girl ,8.1, david fincher, gillian flynn , ben affleck rosamund pike neil patrick harris ,disappearance missing person murder suspect based on novel husband wife relationship,149,Drama,-2014,840400
wolf children ,8.1, mamoru hosoda, mamoru hosoda , aoi miyazaki takao osawa haru kuroki ,single mother werewolf children wilderness mother son relationship,117,Animation,-2012,37663
hacksaw ridge ,8.1, mel gibson, robert schenkkan , andrew garfield sam worthington luke bracey ,world war two conscientious objector soldier medic 1940s,139,Biography,-2016,423080
inside out ,8.1, pete docter ronnie del carmen codirector, pete docter , amy poehler bill hader lewis black ,joy sadness memory anger running away,95,Animation,-2015,598103
barfi ,8.1, anurag basu, anurag basu , ranbir kapoor priyanka chopra ileana dcruz ,hill station autism character name in title love 1970s,151,Comedy,-2012,74503
12 years a slave ,8.1, steve mcqueen, john ridley , chiwetel ejiofor michael kenneth williams michael fassbender ,torture kidnapping racism whipping slavery,134,Biography,-2013,628888
rush ,8.1, ron howard, peter morgan, daniel brhl chris hemsworth olivia wilde ,formula 1 rivalry 1970s racecar driver playboy,123,Action,-2013,425680
ford v ferrari ,8.1, james mangold, jez butterworth johnhenry butterworth , matt damon christian bale jon bernthal ,based on true story car racing motor sports racecar racecar driver,152,Action,-2019,266227
spotlight ,8.1, tom mccarthy, josh singer tom mccarthy, mark ruffalo michael keaton rachel mcadams ,child molestation investigation sexual abuse catholic church cover up,129,Biography,-2015,410397
song of the sea ,8.1, tomm moore, will collins , david rawle brendan gleeson lisa hannigan ,brother sister relationship selkie folk tale sea seal the animal,93,Animation,-2014,49753
kahaani ,8.1, sujoy ghosh, sujoy ghosh , vidya balan parambrata chattopadhyay indraneil sengupta ,durga puja festival missing husband female protagonist terrorism actress shares first name with character,122,Mystery,-2012,56841
zindagi na milegi dobara ,8.1, zoya akhtar, farhan akhtar , hrithik roshan farhan akhtar abhay deol ,underwater scene vacation three friends f rated title directed by female,155,Comedy,-2011,66254
prisoners ,8.1, denis villeneuve, aaron guzikowski, hugh jackman jake gyllenhaal viola davis ,child abduction police child kidnapping vigilante justice revenge,153,Crime,-2013,586731
mad max fury road ,8.1, george miller, george miller brendan mccarthy , tom hardy charlize theron nicholas hoult ,post apocalypse desert car chase chase escape,120,Action,-2015,863358
a wednesday ,8.1, neeraj pandey, neeraj pandey , anupam kher naseeruddin shah jimmy sheirgill ,terrorist race against time bomb threat man wears eyeglasses police,104,Action,-2008,72967
gran torino ,8.1, clint eastwood, nick schenk , clint eastwood bee vang christopher carley ,gang widower teenager street gang gang rape,116,Drama,-2008,711074
harry potter and the deathly hallows part 2 ,8.1, david yates, steve kloves , daniel radcliffe emma watson rupert grint ,ginny weasley character lucius malfoy character hermione granger character battle final battle,130,Adventure,-2011,748765
departures ,8.1, yjir takita, kund koyama , masahiro motoki ryko hirosue tsutomu yamazaki ,cellist funeral father son relationship pregnant wife undressing someone,130,Drama,-2008,47932
hachi a dogs tale ,8.1, lasse hallstrm, stephen p lindsey , richard gere joan allen caryhiroyuki tagawa ,dog japanese loyalty waiting human animal relationship,93,Drama,-2009,247855
mary and max ,8.1, adam elliot, adam elliot, toni collette philip seymour hoffman eric bana ,stop motion black comedy stop motion animation clay animation aspergers syndrome,92,Animation,-2009,162059
how to train your dragon ,8.1, dean deblois chris sanders, william davies , jay baruchel gerard butler christopher mintzplasse ,dragon viking village father son relationship island,98,Animation,-2010,655575
elite squad ,8.1, jos padilha, andr batista , wagner moura andr ramiro caio junqueira ,military police rio de janeiro brazil brazilian military rio de janeiro south america,115,Action,-2007,97007
into the wild ,8.1, sean penn, sean penn , emile hirsch vince vaughn catherine keener ,wilderness alaska journey following a dream self discovery,148,Adventure,-2007,563868
no country for old men ,8.1, ethan coen joel coen, joel coen , tommy lee jones javier bardem josh brolin ,sheriff texas contemporary western cold blooded murder desert,122,Crime,-2007,838498
lage raho munna bhai ,8.1, rajkumar hirani, vidhu vinod chopra , sanjay dutt arshad warsi vidya balan ,papadum capitalist radio love satyagraha,144,Comedy,-2006,42264
million dollar baby ,8.1, clint eastwood, paul haggis , hilary swank clint eastwood morgan freeman ,boxing determination women boxing death euthanasia,132,Drama,-2004,626904
hotel rwanda ,8.1, terry george, keir pearson terry george, don cheadle sophie okonedo joaquin phoenix ,rwanda ethnic warfare mass murder hate monger hotel,121,Biography,-2004,330688
tae guk gi the brotherhood of war ,8.1, jekyu kang as jegyu kang, richard epcar jihoon han , donggun jang won bin eunju lee ,korean war 1950s frontline firearm south korean soldier,140,Action,-2004,37484
before sunset ,8.1, richard linklater, richard linklater , ethan hawke julie delpy vernon dobtcheff ,conversations brief encounter enduring relationship ambiguous ending sequel,80,Drama,-2004,230900
munna bhai mbbs ,8.1, rajkumar hirani, vidhu vinod chopra , sanjay dutt arshad warsi gracy singh ,doctor hospital medical school whistleblower parsi,156,Comedy,-2003,72528
memories of murder ,8.1, bong joon ho, bong joon ho kwangrim kim , kangho song sangkyung kim roeha kim ,serial killer based on true story false evidence 1980s anti hero,132,Action,-2003,131333
dil chahta hai ,8.1, farhan akhtar, kassim jagmagia , aamir khan saif ali khan akshaye khanna ,love understanding alcoholic divorce bare chested male bondage,183,Comedy,-2001,65832
kill bill vol 1 ,8.1, quentin tarantino, quentin tarantino quentin tarantino , uma thurman david carradine daryl hannah ,revenge bride sword female protagonist martial arts,111,Action,-2003,983819
finding nemo ,8.1, andrew stanton lee unkrich codirector, andrew stanton , albert brooks ellen degeneres alexander gould ,pufferfish shark great barrier reef short term memory loss protective father,100,Animation,-2003,933702
catch me if you can ,8.1, steven spielberg, jeff nathanson , leonardo dicaprio tom hanks christopher walken ,impostor con race against time deception mother son relationship,141,Biography,-2002,808520
amores perros ,8.1, alejandro g i±rritu as alejandro gonzlez i±rritu, guillermo arriaga , emilio echevarra gael garca bernal goya toledo ,multiple storyline dog mexico city multiple perspectives nonlinear timeline,154,Drama,-2000,220517
neon genesis evangelion the end of evangelion ,8.1, hideaki anno kazuya tsurumaki, hideaki anno , megumi ogata megumi hayashibara yéko miyamura ,depression despair psychological nonlinear timeline anime,87,Animation,-1997,37136
